CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,29,Y,URA
J0017,,JOO CHIAT ROAD OFF STREET,1.3089312793016843 103.90342597378925,58,C,URA
J0055,,JALAN SEH CHUAN OFF STREET,1.3416072968226134 103.774983522264,130,C,URA
J0092,,JALAN KURAS OFF STREET,1.3733164289278814 103.82902743813321,49,C,URA
J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,0,Y,URA
J0100,,JALAN PELEPAH OFF STREET,1.2740710679512592 103.79551529813891,52,C,URA
J0122,,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,171,C,URA
K0037,,KING GEORGES AVENUE OFF STREET,1.3102875316446452 103.86155503310928,21,C,URA
K0039,,KING GEORGES AVENUE/ HORNE ROAD OFF STREET,1.310011717603521 103.86195254067123,56,C,URA
K0082,,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,7,C,URA
K0082,,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,5,Y,URA
K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,7,Y,URA
K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,78,C,URA
K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,7,Y,URA
K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,28,C,URA
L0064,,LORONG 21 GEYLANG OFF STREET,1.3138418922590445 103.87984207773486,13,C,URA
L0078,,LORONG MYDIN OFF STREET,1.3191579615926596 103.91187813269345,20,C,URA
L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,149,C,URA
L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,20,Y,URA
L0107,,LORONG BACHOK OFF STREET,1.3137312534590921 103.879441454655,11,C,URA
L0116,,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,1.31297192802134 103.88051592242522,10,C,URA
L0117,,LORONG 25/25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,20,Y,URA
L0117,,LORONG 25/25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,51,C,URA
L0123,,LORONG 9/11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,38,C,URA
L0123,,LORONG 9/11 GEYLANG OFF STREET,1.3132431536109048 103.87646592168618,1,Y,URA
L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,17,Y,URA
L0124,,LORONG 37 GEYLANG OFF STREET,1.315091678312372 103.88943334952766,25,C,URA
L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189423 103.88714181973822,45,C,URA
L0125,,LORONG 31 GEYLANG OFF STREET,1.3150474541189423 103.88714181973822,18,Y,URA
M0040,,MACKENZIE ROAD A OFF STREET,1.305166862591867 103.84955574725188,111,C,URA
M0059,,MACKENZIE ROAD B OFF STREET,1.3058144966396488 103.84756472391136 1.3062999712327648 103.84694294724167,80,C,URA
M0059,,MACKENZIE ROAD B OFF STREET,1.3058144966396488 103.84756472391136 1.3062999712327648 103.84694294724167,16,H,URA
M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,105,C,URA
M0076,,MINBU ROAD OFF STREET,1.3252001004070917 103.84890841545035,12,Y,URA
M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,418,Y,URA
M0078,,MARITIME SQUARE D OFF STREET,1.2665572188609842 103.82037098540381,258,C,URA
M0084,,MARINA VIEW OFF STREET,1.2746496875172093 103.84947277096812,42,C,URA
M0088,,MARGARET DRIVE OFF STREET,1.3004199971190697 103.80301640122015,47,C,URA
N0006,,NEIL ROAD OFF STREET,1.2793383109971352 103.84191274173004,2,C,URA
N0012,,NORTH BRIDGE ROAD MARKET OFF STREET,1.3060825735308885 103.86355580061468,27,C,URA
N0013,,NORTH BRIDGE ROAD OFF  STREET,1.3004003577425078 103.8566466267615,88,C,URA
O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,39,C,URA
O0028,,OUTRAM ROAD OFF STREET,1.284380404146159 103.83543041047004,0,Y,URA
P0013,,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,1.2751330286026683 103.84819161939349,83,C,URA
P0033,,PASIR RIS CLOSE OFF STREET,1.3769386098723717 103.95649247971937,358,C,URA
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,19,C,URA
